Booking No,Agent,Country,Tour Type,Booking Date,Amount,Status
BK000119,Thomas Cook,France,Honeymoon,2026-08-12,4128,Confirmed
BK000043,Trailfinders,Spain,Business,2026-12-10,956,Cancelled
BK000059,Cox & Kings,Italy,Cultural,2026-07-25,4606,Confirmed
BK000122,Thomas Cook,Spain,Leisure,2026-07-26,4315,
BK000123,Cox & Kings,Japan,Leisure,2026-04-07,4347,Pending
BK000124,Cox & Kings,Australia,Wildlife,2026-01-27,1767,Pending
BK000125,Thomas Cook,Australia,Cultural,2026-09-06,1094,Confirmed
BK000126,MakeMyTrip,France,Business,2026-10-10,212,Completed
BK000127,Expedia,Australia,Leisure,2026-11-28,1361,
BK000128,Thomas Cook,Japan,Wildlife,2026-09-05,-1920,Cancelled
BK000129,Trailfinders,USA,Honeymoon,2026-09-18,1218,Confirmed
BK000130,Trailfinders,Spain,Wildlife,2026-09-17,-1208,Confirmed
BK000131,Cox & Kings,France,Family,2026-10-03,4067,Pending
BK000132,Trailfinders,Australia,Business,2026-04-07,  ,Completed
BK000133,Trailfinders,Germany,Business,2026-08-31,3223,Completed
BK000134,Booking.com,Australia,Leisure,2026-03-06,4214,Pending
BK000135,Cox & Kings,UK,Honeymoon,2026-08-22,225,Cancelled
BK000021,Booking.com,UK,Family,2026-05-16,2873,Completed
BK000137,Trailfinders,Spain,Cultural,2026-09-07,4532,Confirmed
BK000138,MakeMyTrip,Italy,Adventure,2026-02-16,3655,Confirmed
BK000139,Expedia,Australia,Adventure,2026-12-22,2553,Confirmed
BK000140,TUI,,Business,2026-07-11,3628,Cancelled
BK000141,Booking.com,France,Adventure,2026-02-10,3233,Cancelled
BK000142,Booking.com,USA,Family,2026-11-23,2180,Completed
BK000143,TUI,Australia,Business,2026-12-13,-352,Cancelled
BK000117,Kuoni,UAE,Business,2026-11-24,3575,Pending
BK000145,MakeMyTrip,Japan,Wildlife,2026-09-05,973,Cancelled
BK000102,Kuoni,UAE,Business,2026-12-25,2518,Confirmed
BK000147,TUI,UAE,Cultural,2026-09-12,-2536,Cancelled
BK000148,MakeMyTrip,USA,Honeymoon,2026-05-09,1220,Confirmed
BK000149,TUI,Italy,Wildlife,2026-08-14,373,Pending
BK000150,Expedia,Italy,Business,2026-08-01,1538,Cancelled
BK000151,Kuoni,Canada,Honeymoon,0000-00-00,1447,Pending
BK000152,Thomas Cook,Spain,Wildlife,2026-02-28,3936,Confirmed
BK000153,MakeMyTrip,Japan,Wildlife,Jan 15 2026,3096,Confirmed
BK000150,Thomas Cook,Canada,Leisure,2026-08-21,3119,Pending
BK000117,Kuoni,UK,Cultural,2026-04-30,3962,Confirmed
BK000156,MakeMyTrip,UK,Cultural,2026-08-26,N/A,Completed
BK000157,TUI,Italy,Family,N/A,896,Cancelled
BK000158,Cox & Kings,Spain,Cultural,,4525,Completed
BK000159,Booking.com,Japan,Cultural,2026-02-20,4108,Completed
BK000160,Thomas Cook,Germany,Cultural,2026-07-09,1879,Completed
BK000016,MakeMyTrip,Spain,Leisure,2026-12-18,3109,Pending
BK000153,MakeMyTrip,UK,Wildlife,2026-08-21,850,Cancelled
BK000163,TUI,Spain,Adventure,2026-03-06,4725,Cancelled
BK000164,MakeMyTrip,UAE,Adventure,2026-04-30,,Cancelled
BK000165,Booking.com,France,Honeymoon,2026-05-09,1529,
BK000166,Booking.com,Germany,Business,2026-05-02,4923,Pending
BK000167,Thomas Cook,Germany,Adventure,2026-08-04,4409,
BK000168,Cox & Kings,Spain,Honeymoon,2026-10-31,,Completed
BK000169,TUI,Canada,Business,2026-08-23,-2011,Confirmed
BK000170,Trailfinders,UK,Family,2026-12-31,3733,Confirmed
BK000171,Kuoni,UAE,Adventure,2026-02-03,1133,Pending
BK000172,Kuoni,Japan,Honeymoon,2026-09-29,2515,Completed
BK000173,Trailfinders,UK,Wildlife,2026-12-26,1037,Cancelled
BK000025,MakeMyTrip,Japan,Business,2026-08-21,3366,Completed
BK000175,Kuoni,Italy,Business,2026-03-20,N/A,Confirmed
BK000176,Expedia,Japan,Leisure,2026-07-10,1165,Confirmed
BK000177,Kuoni,UK,Family,2026-07-01,3564,Confirmed
BK000178,Thomas Cook,Spain,Leisure,2026-10-23,4256,Cancelled
BK000179,Cox & Kings,USA,Wildlife,notadate,2968,Pending
BK000180,MakeMyTrip,Japan,Wildlife,2026-10-15,4660,Confirmed
BK000181,Thomas Cook,Germany,Adventure,2026-05-20,2631,Pending
BK000182,Booking.com,France,Honeymoon,2026-12-03,,Confirmed
BK000183,TUI,UK,Cultural,2026-09-29,1862,Completed
BK000014,Kuoni,France,Business,2026-06-09,2757,Confirmed
BK000185,TUI,UK,Business,,3573,Completed
BK000111,Thomas Cook,USA,Wildlife,2026-09-20,1032,Pending
BK000187,Cox & Kings,Canada,Cultural,2026/01/01/01,472,Cancelled
BK000188,TUI,Germany,Adventure,2026-06-04,1830,Cancelled
BK000189,Thomas Cook,Spain,Leisure,2026-01-04,4174,Completed
BK000190,Trailfinders,Canada,Cultural,notadate,4198,Pending
BK000148,TUI,Japan,Leisure,2026-08-24,737,Pending
BK000084,Trailfinders,Japan,Business,2026-02-28,3418,Confirmed
BK000193,Cox & Kings,Spain,Leisure,2026/01/01/01,967,Cancelled
BK000194,Expedia,Japan,Wildlife,2026-06-08,2881,Cancelled
BK000195,Booking.com,UK,Honeymoon,2026-11-21,$500,Cancelled
BK000196,Booking.com,USA,Leisure,2026-03-16,,Cancelled
BK000197,Expedia,France,Wildlife,2026-11-18,4147,Completed
BK000198,Cox & Kings,UAE,Cultural,2026-11-22,2747,Pending
BK000199,Expedia,Australia,Family,,2580,Pending
BK000200,Expedia,Italy,,2026-08-20,408,Confirmed
BK000201,Expedia,UK,Honeymoon,2026-11-01,4253,Completed
BK000117,TUI,Australia,Wildlife,2026-10-20,1642,Pending
BK000130,Booking.com,Germany,Family,2026-02-22,2913,Confirmed
BK000204,TUI,USA,Cultural,2026-08-13,3699,Cancelled
BK000205,Thomas Cook,Japan,Family,2026-06-23,$500,Confirmed
BK000206,Expedia,Canada,Cultural,2026-07-17,2427,
BK000207,Booking.com,Spain,Leisure,2026-10-26,1258,Pending
BK000208,Trailfinders,France,Honeymoon,2026-12-29,NaN,Pending
BK000209,Kuoni,France,Cultural,2026-12-26,----,Confirmed
BK000210,TUI,Spain,Business,2026-04-03,1854,Pending
BK000211,Cox & Kings,USA,Adventure,2026-03-12,1369,Confirmed
BK000212,Expedia,Canada,Wildlife,2026-10-04,-2761,Confirmed
BK000213,Booking.com,UAE,Family,2026-03-20,,Cancelled
BK000214,TUI,Japan,Business,2026-12-13,2045,Completed
BK000215,Cox & Kings,USA,Honeymoon,2026-05-03,2635,Completed
BK000216,MakeMyTrip,Spain,Cultural,2026-10-20,3709,Completed
BK000217,Trailfinders,Canada,Honeymoon,2026-08-03,1427,Cancelled
BK000218,Booking.com,Italy,Leisure,2026-11-25,4036,Pending
BK000219,Expedia,Canada,Wildlife,2026-03-05,2435,Confirmed
BK000220,Thomas Cook,Australia,Honeymoon,2026-03-17,3683,Confirmed
BK000221,MakeMyTrip,Australia,Business,2026-01-14,3498,Confirmed
BK000008,Kuoni,USA,Family,2026-02-11,3171,Cancelled
BK000223,Expedia,Spain,Wildlife,2026-03-16,"1,000",Confirmed
BK000224,Cox & Kings,France,Wildlife,2026-12-28,3942,Completed
BK000225,Expedia,Germany,Business,2026-04-21,1324,Completed
BK000226,Thomas Cook,USA,Business,2026/01/01/01,491,Cancelled
BK000227,Cox & Kings,UK,Leisure,2026-09-13,4988,Confirmed
BK000228,MakeMyTrip,France,Business,2026-08-08,112,Pending
BK000229,Trailfinders,France,Cultural,2026-12-09,-327,Pending
BK000230,TUI,Japan,Wildlife,2026-08-29,456,Completed
BK000231,Thomas Cook,Germany,Business,2026-02-04,2924,Cancelled
BK000232,Expedia,UAE,Cultural,2026-06-20,1192,Confirmed
BK000233,Kuoni,France,Wildlife,2026-12-17,,Completed
BK000234,Expedia,Australia,Leisure,2026-05-31,1751,Confirmed
BK000235,TUI,Spain,Business,2026-09-21,3362,Completed
BK000236,MakeMyTrip,Italy,Business,2026-01-25,-559,Pending
BK000237,Trailfinders,Japan,Cultural,2026-08-14,3267,Pending
BK000238,Cox & Kings,Australia,Business,2026-09-23,2284,Confirmed
BK000239,Expedia,Japan,Honeymoon,2026-04-03,4568,Pending
BK000240,Expedia,Spain,Cultural,2026-06-01,----,Completed
BK000241,Cox & Kings,Spain,Family,2026-02-30,2988,Completed
BK000242,TUI,UK,Cultural,2026-11-23,3427,Pending
BK000243,Booking.com,Germany,Adventure,2026-11-08,3689,Confirmed
BK000244,MakeMyTrip,Spain,Business,,4746,Confirmed
BK000245,Cox & Kings,Spain,Business,N/A,729,Cancelled
BK000246,Kuoni,Italy,Adventure,2026-02-28,null,Cancelled
BK000247,Expedia,Italy,Wildlife,2026-05-14,3755,Cancelled
BK000248,Thomas Cook,Australia,Adventure,2026-03-04,1211,Confirmed
BK000182,Cox & Kings,UK,Wildlife,2026-12-16,2718,Pending
BK000250,Thomas Cook,Italy,Wildlife,2026-03-22,,Pending
BK000251,MakeMyTrip,France,Adventure,2026-09-10,-2319,Pending
BK000252,Cox & Kings,Canada,Adventure,2026-11-10,806,Confirmed
BK000253,Cox & Kings,Canada,Family,2026-07-29,,Confirmed
BK000254,Expedia,Australia,Family,2026-12-15,4338,Pending
BK000255,Booking.com,France,Family,N/A,553,Confirmed
BK000256,Booking.com,France,Business,N/A,1947,Pending
BK000257,Expedia,Italy,Adventure,2026-11-22,4612,Pending
BK000258,Thomas Cook,UAE,Honeymoon,,4217,Cancelled
BK000259,Booking.com,France,Cultural,2026-11-16,2865,Confirmed
BK000260,TUI,UK,Leisure,2026-11-25,4824,Pending
BK000261,Trailfinders,UAE,Cultural,2026-01-16,4179,Pending
BK000262,Thomas Cook,Australia,Adventure,2026-12-17,3426,Pending
BK000105,TUI,France,Family,2026-08-01,4066,Completed
BK000264,Booking.com,Spain,Wildlife,2026-06-13,,Completed
BK000265,Expedia,Spain,Adventure,2026-08-27,1103,Pending
BK000128,Booking.com,UK,Leisure,2026-05-29,3246,Completed
BK000267,Booking.com,Spain,Honeymoon,2026-06-10,1655,Cancelled
BK000268,Cox & Kings,Australia,Business,2026-09-12,289,Confirmed
BK000269,Cox & Kings,USA,Adventure,2026-10-26,2990,Confirmed
BK000270,Cox & Kings,UAE,Wildlife,2026-12-01,,Pending
BK000271,Expedia,Japan,,2026-05-16,3096,Completed
BK000272,,UAE,Honeymoon,2026-04-10,3069,Pending
BK000050,Cox & Kings,Canada,Business,2026-11-16,1073,Cancelled
BK000257,Kuoni,Canada,Business,2026-03-15,1730,Completed
BK000275,TUI,,Cultural,2026-06-20,3980,Completed
BK000276,Booking.com,Spain,Honeymoon,2026-06-13,1431,Completed
BK000277,Thomas Cook,UAE,Business,2026-09-17,4275,Completed
BK000278,Thomas Cook,Australia,Wildlife,2026-01-09,3117,Pending
BK000279,Trailfinders,UAE,Business,2026-12-19,318,Completed
BK000280,MakeMyTrip,Germany,Honeymoon,2026-09-03,-655,Completed
BK000281,MakeMyTrip,Germany,Honeymoon,2026-12-25,1000,Cancelled
BK000282,Kuoni,Japan,Adventure,2026-07-31,,Completed
BK000283,Cox & Kings,Germany,Cultural,2026-03-12,4349,Cancelled
BK000284,Cox & Kings,Canada,Family,2026-06-10,1518,Completed
BK000285,Kuoni,Canada,Business,2026-12-13,2265,Completed
BK000286,MakeMyTrip,Italy,Honeymoon,Jan 15 2026,1942,Pending
BK000287,MakeMyTrip,Australia,Business,2026-09-03,-1228,Pending
BK000288,Trailfinders,Japan,Wildlife,2026-13-45,1299,Pending
BK000289,Expedia,Spain,Family,2026-12-02,-926,Completed
BK000290,Thomas Cook,Canada,Cultural,2026-05-20,-2571,Confirmed
BK000291,MakeMyTrip,USA,Leisure,2026-12-09,4450,Cancelled
BK000292,TUI,UK,Family,2026-06-19,3969,Confirmed
BK000293,Booking.com,Germany,Honeymoon,2026-03-22,3433,Completed
BK000119,MakeMyTrip,Italy,Business,2026-05-27,584,Confirmed
BK000295,TUI,France,Family,2026-04-01,397,Completed
BK000296,Booking.com,Italy,Leisure,2026-01-05,2544,Confirmed
BK000297,Kuoni,Italy,Family,2026-11-25,4550,Completed
BK000298,Booking.com,Canada,Family,2026-05-20,1679,Confirmed
BK000299,Cox & Kings,Italy,Cultural,2026-04-06,"1,000",Pending
BK000300,MakeMyTrip,France,Honeymoon,2026-11-24,3421,Completed
BK000301,Expedia,Japan,Cultural,2026-02-18,1613,Cancelled
BK000137,MakeMyTrip,Germany,Business,2026-07-16,2029,Completed
BK000303,Thomas Cook,UAE,Cultural,2026-10-21,193,Pending
BK000304,MakeMyTrip,Germany,Cultural,2026-03-02,3912,Pending
BK000305,Thomas Cook,UK,Cultural,00/00/0000,3110,Cancelled
BK000306,Cox & Kings,France,Family,2026-11-07,3160,Completed
BK000307,Cox & Kings,Canada,Wildlife,2026-12-07,1889,Cancelled
BK000308,Expedia,Canada,Family,2026-09-28,3063,Confirmed
BK000309,Expedia,Germany,Wildlife,2026-10-08,4240,Cancelled
BK000310,Booking.com,France,Business,2026-09-24,3719,Confirmed
BK000311,Cox & Kings,UK,Honeymoon,2026-08-17,555,Completed
BK000312,Trailfinders,Australia,Honeymoon,13/13/13,4677,Completed
BK000313,TUI,Japan,Business,2026-01-02,1885,Confirmed
BK000314,,UK,Honeymoon,2026-01-31,665,Completed
BK000315,Booking.com,France,Wildlife,2026-11-25,-1616,Pending
BK000179,Trailfinders,Japan,Leisure,2026-12-16,4517,Cancelled
BK000317,Trailfinders,Canada,Adventure,2026-02-30,128,Confirmed
BK000178,Trailfinders,Canada,Family,2026-04-28,2127,Completed
BK000319,MakeMyTrip,UK,Leisure,00/00/0000,3534,Confirmed
BK000320,Expedia,UAE,Leisure,2026-08-17,-1052,Confirmed
BK000321,Trailfinders,Australia,Adventure,2026-10-04,1879,Confirmed
BK000322,Thomas Cook,USA,Wildlife,00/00/0000,2712,Pending
BK000323,Booking.com,Canada,Adventure,2026-07-31,abc,Pending
BK000324,Booking.com,Japan,Honeymoon,2026-09-11,484,Pending
BK000325,Trailfinders,Canada,Business,2026-12-23,3510,Completed
BK000326,Trailfinders,France,Wildlife,0000-00-00,3979,Cancelled
BK000327,Booking.com,Australia,Leisure,2026-10-15,-2332,Completed
BK000328,Trailfinders,USA,Business,2026-04-15,2805,Confirmed
BK000329,Kuoni,UK,Honeymoon,2026-04-08,522,Pending
BK000330,TUI,UK,Adventure,2026-10-28,null,Cancelled
BK000331,Kuoni,Italy,Leisure,2026-04-19,-2011,Confirmed
BK000332,MakeMyTrip,Japan,Adventure,2026-10-10,2734,Pending
BK000239,Kuoni,Italy,Business,2026-07-04,4300,Completed
BK000334,,Spain,Adventure,2026-07-09,2663,Completed
BK000335,MakeMyTrip,France,Leisure,2026-05-14,4632,Completed
BK000336,MakeMyTrip,Spain,Adventure,2026-07-14,-2095,Cancelled
BK000337,Kuoni,Italy,Wildlife,2026-09-08,4118,Completed
BK000338,Kuoni,France,Adventure,N/A,4100,Cancelled
BK000339,TUI,Canada,Leisure,2026-02-08,497,Confirmed
BK000259,MakeMyTrip,UK,Cultural,2026-03-19,174,Cancelled
BK000002,TUI,UAE,Cultural,2026-12-08,4058,Completed
BK000342,,Germany,Leisure,2026-09-29,2350,Pending
BK000343,Trailfinders,France,Leisure,2026-02-19,4395,Cancelled
BK000344,Thomas Cook,Spain,Business,2026-07-23,-1713,Pending
BK000048,MakeMyTrip,USA,Business,2026-12-17,760,Confirmed
BK000043,Trailfinders,Canada,Family,2026-01-29,177,Cancelled
BK000347,Trailfinders,Spain,Honeymoon,2026-02-18,4426,Confirmed
BK000348,Cox & Kings,Italy,Leisure,2026-02-08,-784,Confirmed
BK000349,Kuoni,Germany,Adventure,2026-10-28,1281,Completed
BK000350,Thomas Cook,France,Honeymoon,2026-05-04,4742,Completed
BK000351,Kuoni,Japan,Wildlife,2026-03-13,742,Pending
BK000352,Trailfinders,USA,,2026-02-08,2890,Completed
BK000353,Thomas Cook,Australia,Family,,3014,Completed
BK000354,Trailfinders,UK,Wildlife,2026.01.15,2519,Cancelled
BK000355,Thomas Cook,France,,2026-12-31,1363,Completed
BK000356,Expedia,Germany,Business,2026-08-16,N/A,Pending
BK000357,Booking.com,Japan,Family,notadate,4644,Completed
BK000358,Kuoni,Canada,Leisure,,4999,Pending
BK000359,Trailfinders,Japan,Wildlife,2026-02-13,,Cancelled
BK000360,Trailfinders,France,Adventure,2026-05-18,2566,Pending
BK000361,Expedia,France,Family,2026-05-22,3549,Pending
BK000362,Expedia,Spain,Business,2026-05-07,4161,Cancelled
BK000169,Booking.com,Italy,Leisure,2026-07-22,2821,Completed
BK000246,Trailfinders,UAE,Adventure,2026-06-03,2726,Cancelled
BK000365,Trailfinders,Spain,Business,2026-12-22,$500,Cancelled
BK000366,Trailfinders,Spain,Leisure,2026-10-16,NaN,Cancelled
BK000367,Cox & Kings,USA,Family,2026-05-30,666,
BK000368,Thomas Cook,USA,Business,2026-12-04,1362,Completed
BK000369,Expedia,Australia,Honeymoon,2026-09-03,4869,Completed
BK000370,Trailfinders,Canada,Leisure,2026-07-04,4498,Confirmed
BK000371,MakeMyTrip,Spain,Adventure,Jan 15 2026,462,Completed
BK000372,Trailfinders,UK,Leisure,2026-02-20,NaN,Cancelled
BK000373,MakeMyTrip,Australia,Business,2026-07-20,3893,Cancelled
BK000374,TUI,Australia,Leisure,2026-06-01,N/A,Confirmed
BK000375,Booking.com,Spain,Business,2026-06-25,3830,Cancelled
BK000376,Kuoni,Australia,Leisure,2026-08-13,3806,Pending
BK000377,TUI,UK,Leisure,2026-06-25,995,
BK000378,Booking.com,Canada,Adventure,2026-06-19,-1942,Completed
BK000379,Trailfinders,France,Adventure,2026-11-24,-169,Completed
BK000380,MakeMyTrip,Australia,Honeymoon,2026-08-08,3285,Confirmed
BK000381,MakeMyTrip,Italy,Wildlife,2026-12-27,612,Confirmed
BK000382,Booking.com,Spain,Business,2026-04-11,3848,Confirmed
BK000383,Cox & Kings,Canada,Cultural,2026-06-10,-2553,Completed
BK000315,Expedia,Spain,Business,2026-08-23,1513,Pending
BK000385,Booking.com,Spain,Leisure,2026-05-03,2601,Confirmed
BK000386,Booking.com,Canada,Family,,4985,Cancelled
BK000251,Booking.com,Australia,Cultural,2026-10-03,1519,Cancelled
BK000388,Booking.com,Spain,Wildlife,2026-08-19,-89,Pending
BK000389,MakeMyTrip,Japan,Honeymoon,2026-09-16,4154,Completed
BK000390,Trailfinders,Australia,Family,2026-03-27,777,Confirmed
BK000391,MakeMyTrip,Italy,Leisure,2026-05-21,1941,Pending
BK000392,Cox & Kings,UAE,Cultural,,4603,Confirmed
BK000393,Kuoni,Canada,Wildlife,2026/01/01/01,3715,Cancelled
BK000394,MakeMyTrip,Italy,Wildlife,31-31-2026,3784,Pending
BK000395,Expedia,Australia,Wildlife,2026-03-02,2041,Cancelled
BK000396,Kuoni,UAE,Cultural,2026-08-08,1459,Cancelled
BK000397,MakeMyTrip,Germany,Honeymoon,2026-06-29,4460,Pending
BK000398,Booking.com,Spain,Cultural,2026-05-30,2470,Pending
BK000399,Expedia,France,Wildlife,2026-07-30,585,Pending
BK000400,Booking.com,France,Adventure,2026-03-16,2738,Cancelled
BK000401,Trailfinders,Australia,Adventure,2026-10-23,2301,Completed
BK000402,Expedia,UK,Family,2026-09-21,null,Pending
BK000403,Kuoni,UAE,Leisure,2026-02-17,3855,Pending
BK000404,Trailfinders,USA,Family,2026-04-19,4152,Pending
